key,value,timestamp,sentence
C - Neutral,0.2592,"00:03:47,352 --> 00:03:51,721","Say, get in there before I make a dime bank out of you."
D - Happy,0.3561,"00:03:47,352 --> 00:03:51,721","Say, get in there before I make a dime bank out of you."
E - Very Happy,0.0851,"00:03:47,352 --> 00:03:51,721","Say, get in there before I make a dime bank out of you."
A - Very Sad,0.0137,"00:03:53,942 --> 00:03:56,024","Listen, kid..."
B - Sad,0.0905,"00:03:53,942 --> 00:03:56,024","Listen, kid..."
C - Neutral,0.6518,"00:03:53,942 --> 00:03:56,024","Listen, kid..."
D - Happy,0.2205,"00:03:53,942 --> 00:03:56,024","Listen, kid..."
E - Very Happy,0.0235,"00:03:53,942 --> 00:03:56,024","Listen, kid..."
A - Very Sad,0.0904,"00:03:56,695 --> 00:04:00,279","are you gonna let that old Gulch heifer try and buffalo you?"
B - Sad,0.6698,"00:03:56,695 --> 00:04:00,279","are you gonna let that old Gulch heifer try and buffalo you?"
C - Neutral,0.1966,"00:03:56,695 --> 00:04:00,279","are you gonna let that old Gulch heifer try and buffalo you?"
D - Happy,0.0312,"00:03:56,695 --> 00:04:00,279","are you gonna let that old Gulch heifer try and buffalo you?"
E - Very Happy,0.0120,"00:03:56,695 --> 00:04:00,279","are you gonna let that old Gulch heifer try and buffalo you?"
A - Very Sad,0.0597,"00:04:00,532 --> 00:04:03,695","She ain't nothing to be afraid of."
B - Sad,0.2603,"00:04:00,532 --> 00:04:03,695","She ain't nothing to be afraid of."
C - Neutral,0.3773,"00:04:00,532 --> 00:04:03,695","She ain't nothing to be afraid of."
D - Happy,0.2533,"00:04:00,532 --> 00:04:03,695","She ain't nothing to be afraid of."
E - Very Happy,0.0494,"00:04:00,532 --> 00:04:03,695","She ain't nothing to be afraid of."
A - Very Sad,0.0139,"00:04:00,532 --> 00:04:03,695","Have a little courage."
B - Sad,0.1179,"00:04:00,532 --> 00:04:03,695","Have a little courage."
C - Neutral,0.7421,"00:04:00,532 --> 00:04:03,695","Have a little courage."
D - Happy,0.1174,"00:04:00,532 --> 00:04:03,695","Have a little courage."
E - Very Happy,0.0087,"00:04:00,532 --> 00:04:03,695","Have a little courage."
A - Very Sad,0.0679,"00:04:03,952 --> 00:04:05,363","DOROTHY: I'm not afraid of her."
B - Sad,0.3812,"00:04:03,952 --> 00:04:05,363","DOROTHY: I'm not afraid of her."
C - Neutral,0.4009,"00:04:03,952 --> 00:04:05,363","DOROTHY: I'm not afraid of her."
D - Happy,0.1203,"00:04:03,952 --> 00:04:05,363","DOROTHY: I'm not afraid of her."
E - Very Happy,0.0297,"00:04:03,952 --> 00:04:05,363","DOROTHY: I'm not afraid of her."
A - Very Sad,0.0535,"00:04:05,620 --> 00:04:09,204","Next time she squawks, walk up to her and spit in her eye."
B - Sad,0.1219,"00:04:05,620 --> 00:04:09,204","Next time she squawks, walk up to her and spit in her eye."
C - Neutral,0.1209,"00:04:05,620 --> 00:04:09,204","Next time she squawks, walk up to her and spit in her eye."
D - Happy,0.5092,"00:04:05,620 --> 00:04:09,204","Next time she squawks, walk up to her and spit in her eye."
E - Very Happy,0.1946,"00:04:05,620 --> 00:04:09,204","Next time she squawks, walk up to her and spit in her eye."
A - Very Sad,0.0119,"00:04:05,620 --> 00:04:09,204","That's what I'd do."
B - Sad,0.0757,"00:04:05,620 --> 00:04:09,204","That's what I'd do."
C - Neutral,0.6223,"00:04:05,620 --> 00:04:09,204","That's what I'd do."
D - Happy,0.2688,"00:04:05,620 --> 00:04:09,204","That's what I'd do."
E - Very Happy,0.0213,"00:04:05,620 --> 00:04:09,204","That's what I'd do."
A - Very Sad,0.0011,"00:04:09,833 --> 00:04:10,789","Oh!"
B - Sad,0.0059,"00:04:09,833 --> 00:04:10,789","Oh!"
C - Neutral,0.8392,"00:04:09,833 --> 00:04:10,789","Oh!"
D - Happy,0.1465,"00:04:09,833 --> 00:04:10,789","Oh!"
E - Very Happy,0.0073,"00:04:09,833 --> 00:04:10,789","Oh!"
A - Very Sad,0.0011,"00:04:11,042 --> 00:04:12,077","Oh!"
B - Sad,0.0059,"00:04:11,042 --> 00:04:12,077","Oh!"
C - Neutral,0.8392,"00:04:11,042 --> 00:04:12,077","Oh!"
D - Happy,0.1465,"00:04:11,042 --> 00:04:12,077","Oh!"
E - Very Happy,0.0073,"00:04:11,042 --> 00:04:12,077","Oh!"
A - Very Sad,0.0011,"00:04:12,335 --> 00:04:14,042","Oh!"
B - Sad,0.0059,"00:04:12,335 --> 00:04:14,042","Oh!"
C - Neutral,0.8392,"00:04:12,335 --> 00:04:14,042","Oh!"
D - Happy,0.1465,"00:04:12,335 --> 00:04:14,042","Oh!"
E - Very Happy,0.0073,"00:04:12,335 --> 00:04:14,042","Oh!"
A - Very Sad,0.0207,"00:04:12,335 --> 00:04:14,042","Zeke!"
B - Sad,0.0804,"00:04:12,335 --> 00:04:14,042","Zeke!"
C - Neutral,0.4557,"00:04:12,335 --> 00:04:14,042","Zeke!"
D - Happy,0.3660,"00:04:12,335 --> 00:04:14,042","Zeke!"
E - Very Happy,0.0772,"00:04:12,335 --> 00:04:14,042","Zeke!"
A - Very Sad,0.0207,"00:04:14,296 --> 00:04:17,163","Help!"
B - Sad,0.0804,"00:04:14,296 --> 00:04:17,163","Help!"
C - Neutral,0.4557,"00:04:14,296 --> 00:04:17,163","Help!"
